"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"149"	"MT-2_2"	"MT-2_1"	"100"	"27"	"2"	"0.0740740740740741"	"0.00466200466200466"	"2.52778106446527e-07"	"0.00382695910121585"	"0.00549705022279347"
"150"	"MT-2_2"	"MT-2_2"	"100"	"14"	"14"	"1"	"0.054160125588697"	"0"	"0.0506173194592983"	"0.0577029317180958"
"151"	"MT-2_2"	"MT-4_1"	"100"	"17"	"3"	"0.176470588235294"	"0.00170417817476641"	"0"	"0.00107056731715593"	"0.00233778903237689"
"152"	"MT-2_2"	"MT-4_2"	"100"	"16"	"3"	"0.1875"	"0.00237262737262737"	"0"	"0.00159194870440159"	"0.00315330604085316"
"153"	"MT-4_1"	"MT-2_1"	"100"	"20"	"1"	"0.05"	"0.00284715284715285"	"4.75126310897078e-05"	"0.00212814537299804"	"0.00356616032130766"
"154"	"MT-4_1"	"MT-2_2"	"100"	"17"	"3"	"0.176470588235294"	"0.00193923723335488"	"0"	"0.00128748023551599"	"0.00259099423119377"
"155"	"MT-4_1"	"MT-4_1"	"100"	"6"	"6"	"1"	"0.030969030969031"	"0"	"0.0265901448229407"	"0.0353479171151212"
"156"	"MT-4_1"	"MT-4_2"	"100"	"9"	"2"	"0.222222222222222"	"0.00288600288600289"	"0"	"0.00170586946089992"	"0.00406613631110585"
"157"	"MT-4_2"	"MT-2_1"	"100"	"18"	"2"	"0.111111111111111"	"0.00238650238650239"	"0"	"0.0016543068460379"	"0.00311869792696687"
"158"	"MT-4_2"	"MT-2_2"	"100"	"16"	"3"	"0.1875"	"0.00193556443556444"	"0"	"0.00126369218092418"	"0.00260743669020469"
"159"	"MT-4_2"	"MT-4_1"	"100"	"9"	"2"	"0.222222222222222"	"0.00155400155400155"	"0"	"0.00074430915872053"	"0.00236369394928258"
"160"	"MT-4_2"	"MT-4_2"	"100"	"5"	"5"	"1"	"0.022977022977023"	"0"	"0.0188295361573811"	"0.0271245097966649"
"161"	"MT-2_1"	"MT-2_1"	"110"	"15"	"15"	"1"	"0.0594738594738595"	"0"	"0.0556878836918662"	"0.0632598352558527"
"162"	"MT-2_1"	"MT-2_2"	"110"	"29"	"1"	"0.0344827586206897"	"0.00444383203003893"	"0.0135074782576838"	"0.00368956234471904"	"0.00519810171535881"
"163"	"MT-2_1"	"MT-4_1"	"110"	"20"	"0"	"0"	"0.0022977022977023"	"0.826368543124398"	"0.00164803563523845"	"0.00294736896016615"
"164"	"MT-2_1"	"MT-4_2"	"110"	"21"	"2"	"0.0952380952380952"	"0.00237857380714524"	"0"	"0.00173485537991066"	"0.00302229223437981"
"165"	"MT-2_2"	"MT-2_1"	"110"	"29"	"1"	"0.0344827586206897"	"0.004995004995005"	"0.0282764772323678"	"0.00416117963112016"	"0.00582883035888983"
"166"	"MT-2_2"	"MT-2_2"	"110"	"15"	"15"	"1"	"0.0514152514152514"	"0"	"0.0479740462231616"	"0.0548564566073413"
