"Var1"	"Var2"	"passage"	"total_unique"	"shared"	"pct_shared"	"expected_pct_shared"	"p.val"	"CI_lower"	"CI_upper"
"79"	"MT-4_2"	"MT-4_1"	"50"	"2"	"1"	"0.5"	"0.015984015984016"	"3.79595681554434e-08"	"0.0105258485029546"	"0.0214421834650774"
"80"	"MT-4_2"	"MT-4_2"	"50"	"2"	"2"	"1"	"0.209290709290709"	"0.00422815524815623"	"0.192146639923398"	"0.226434778658021"
"81"	"MT-2_1"	"MT-2_1"	"60"	"5"	"5"	"1"	"0.0371628371628372"	"0"	"0.0319967724584311"	"0.0423289018672433"
"82"	"MT-2_1"	"MT-2_2"	"60"	"8"	"2"	"0.25"	"0.003996003996004"	"0"	"0.00254603589308513"	"0.00544597209892286"
"83"	"MT-2_1"	"MT-4_1"	"60"	"7"	"0"	"0"	"0.000428143285286142"	"0.956298025635885"	"-5.643933460006e-05"	"0.000912725905172345"
"84"	"MT-2_1"	"MT-4_2"	"60"	"7"	"0"	"0"	"0.000570857713714857"	"0.949520457987501"	"1.15903064775131e-05"	"0.0011301251209522"
"85"	"MT-2_2"	"MT-2_1"	"60"	"8"	"2"	"0.25"	"0.00362137862137862"	"0"	"0.00232036417178032"	"0.00492239307097693"
"86"	"MT-2_2"	"MT-2_2"	"60"	"5"	"5"	"1"	"0.03996003996004"	"0"	"0.0346965782981376"	"0.0452235016219424"
"87"	"MT-2_2"	"MT-4_1"	"60"	"6"	"1"	"0.166666666666667"	"0.00233100233100233"	"0"	"0.00111646373808079"	"0.00354554092392387"
"88"	"MT-2_2"	"MT-4_2"	"60"	"6"	"1"	"0.166666666666667"	"0.00283050283050283"	"2.8643754035329e-14"	"0.00149418200947905"	"0.00416682365152661"
"89"	"MT-4_1"	"MT-2_1"	"60"	"7"	"0"	"0"	"0.000428143285286142"	"0.956298025635885"	"-5.643933460006e-05"	"0.000912725905172345"
"90"	"MT-4_1"	"MT-2_2"	"60"	"6"	"1"	"0.166666666666667"	"0.00166500166500167"	"0"	"0.000636451324063182"	"0.00269355200594015"
"91"	"MT-4_1"	"MT-4_1"	"60"	"2"	"2"	"1"	"0.0484515484515484"	"2.04681827042918e-10"	"0.0391686843626271"	"0.0577344125404698"
"92"	"MT-4_1"	"MT-4_2"	"60"	"3"	"1"	"0.333333333333333"	"0.00432900432900433"	"0"	"0.00198710151010882"	"0.00667090714789984"
"93"	"MT-4_2"	"MT-2_1"	"60"	"7"	"0"	"0"	"0.000713572142143571"	"0.943543301911741"	"8.86058314499527e-05"	"0.00133853845283719"
"94"	"MT-4_2"	"MT-2_2"	"60"	"6"	"1"	"0.166666666666667"	"0.001998001998002"	"0"	"0.000872419078721308"	"0.00312358491728269"
"95"	"MT-4_2"	"MT-4_1"	"60"	"3"	"1"	"0.333333333333333"	"0.00466200466200466"	"0"	"0.00223292747616159"	"0.00709108184784773"
"96"	"MT-4_2"	"MT-4_2"	"60"	"2"	"2"	"1"	"0.117882117882118"	"8.10043786569903e-05"	"0.104000753949171"	"0.131763481815065"
"97"	"MT-2_1"	"MT-2_1"	"70"	"7"	"7"	"1"	"0.0652204937919224"	"0"	"0.0596703895739044"	"0.0707705980099403"
"98"	"MT-2_1"	"MT-2_2"	"70"	"13"	"2"	"0.153846153846154"	"0.00384231153461923"	"0"	"0.00278079389028223"	"0.00490382917895622"
"99"	"MT-2_1"	"MT-4_1"	"70"	"11"	"0"	"0"	"0.00208882027063845"	"0.878179709585315"	"0.00124357911356815"	"0.00293406142770876"
"100"	"MT-2_1"	"MT-4_2"	"70"	"9"	"0"	"0"	"0.00122100122100122"	"0.916092860292629"	"0.000502195696888984"	"0.00193980674511346"
"101"	"MT-2_2"	"MT-2_1"	"70"	"13"	"2"	"0.153846153846154"	"0.00391915776531161"	"0"	"0.00286951017279981"	"0.00496880535782341"
"102"	"MT-2_2"	"MT-2_2"	"70"	"8"	"8"	"1"	"0.0450799200799201"	"0"	"0.0406886471731008"	"0.0494711929867394"
"103"	"MT-2_2"	"MT-4_1"	"70"	"9"	"3"	"0.333333333333333"	"0.00210900210900211"	"0"	"0.00116813126529989"	"0.00304987295270433"
"104"	"MT-2_2"	"MT-4_2"	"70"	"8"	"2"	"0.25"	"0.000999000999000999"	"0"	"0.000308332567049721"	"0.00168966943095228"
"105"	"MT-4_1"	"MT-2_1"	"70"	"11"	"0"	"0"	"0.00272454817909363"	"0.865055756418705"	"0.0017301717953318"	"0.00371892456285547"
